기간유형,기간,게시글수,총조회수,평균조회수,최대조회수,총댓글수,평균댓글수
주차,2023-02-13/2023-02-19,378,34447,91.13,,27,0.07
주차,2023-02-20/2023-02-26,363,35194,96.95,,250,0.69
주차,2023-02-27/2023-03-05,267,25977,97.29,,35,0.13
주차,2023-03-06/2023-03-12,318,41320,129.94,,34,0.11
주차,2023-03-13/2023-03-19,462,44223,95.72,,28,0.06
주차,2023-03-20/2023-03-26,407,43724,107.43,,44,0.11
주차,2023-03-27/2023-04-02,304,28643,94.22,,39,0.13
주차,2023-04-03/2023-04-09,250,25744,102.98,,26,0.1
주차,2023-04-10/2023-04-16,276,35537,128.76,,77,0.28
주차,2023-04-17/2023-04-23,284,34280,120.7,,55,0.19
주차,2023-04-24/2023-04-30,238,28106,118.09,,38,0.16
주차,2023-05-01/2023-05-07,206,20949,101.69,,8,0.04
주차,2023-05-08/2023-05-14,232,22593,97.38,,15,0.06
주차,2023-05-15/2023-05-21,183,18054,98.66,,16,0.09
주차,2023-05-22/2023-05-28,200,21453,107.26,,28,0.14
주차,2023-05-29/2023-06-04,188,20017,106.47,,33,0.18
주차,2023-06-05/2023-06-11,271,42458,156.67,,47,0.17
주차,2023-06-12/2023-06-18,222,22206,100.03,,58,0.26
주차,2023-06-19/2023-06-25,242,24990,103.26,,38,0.16
주차,2023-06-26/2023-07-02,238,23227,97.59,,10,0.04
주차,2023-07-03/2023-07-09,259,68830,265.75,,63,0.24
주차,2023-07-10/2023-07-16,281,73717,262.34,,19,0.07
주차,2023-07-17/2023-07-23,220,64975,295.34,,53,0.24
주차,2023-07-24/2023-07-30,204,49062,240.5,,19,0.09
주차,2023-07-31/2023-08-06,214,50360,235.33,,14,0.07
주차,2023-08-07/2023-08-13,216,40864,189.19,,25,0.12
주차,2023-08-14/2023-08-20,222,43320,195.14,,56,0.25
주차,2023-08-21/2023-08-27,152,27445,180.56,,61,0.4
주차,2023-08-28/2023-09-03,228,34195,149.98,,58,0.25
주차,2023-09-04/2023-09-10,224,23713,105.86,,68,0.3
주차,2023-09-11/2023-09-17,269,27888,103.67,,46,0.17
주차,2023-09-18/2023-09-24,203,23471,115.62,,97,0.48
주차,2023-09-25/2023-10-01,161,20435,126.93,,43,0.27
주차,2023-10-02/2023-10-08,202,23427,115.98,,28,0.14
주차,2023-10-09/2023-10-15,225,27978,124.35,,70,0.31
주차,2023-10-16/2023-10-22,246,27666,112.46,,45,0.18
주차,2023-10-23/2023-10-29,307,30706,100.02,,48,0.16
주차,2023-10-30/2023-11-05,328,28991,88.39,,27,0.08
주차,2023-11-06/2023-11-12,338,38410,113.64,,60,0.18
주차,2023-11-13/2023-11-19,263,26846,102.08,,35,0.13
주차,2023-11-20/2023-11-26,202,25449,125.99,,47,0.23
주차,2023-11-27/2023-12-03,210,22802,108.58,,34,0.16
주차,2023-12-04/2023-12-10,292,35683,122.2,,83,0.28
주차,2023-12-11/2023-12-17,255,29847,117.05,,64,0.25
주차,2023-12-18/2023-12-24,267,30676,114.89,,53,0.2
주차,2023-12-25/2023-12-31,286,31241,109.23,,38,0.13
주차,2024-01-01/2024-01-07,334,41209,123.38,,97,0.29
주차,2024-01-08/2024-01-14,353,41980,118.92,,93,0.26
주차,2024-01-15/2024-01-21,259,27680,106.87,,46,0.18
주차,2024-01-22/2024-01-28,243,25211,103.75,,50,0.21
주차,2024-01-29/2024-02-04,208,22125,106.37,,39,0.19
주차,2024-02-05/2024-02-11,197,25923,131.59,,68,0.35
주차,2024-02-12/2024-02-18,265,31892,120.35,,94,0.35
주차,2024-02-19/2024-02-25,296,32236,108.91,,69,0.23
주차,2024-02-26/2024-03-03,424,47960,113.11,,113,0.27
주차,2024-03-04/2024-03-10,494,54164,109.64,,76,0.15
주차,2024-03-11/2024-03-17,509,57283,112.54,,70,0.14
주차,2024-03-18/2024-03-24,415,54509,131.35,,93,0.22
주차,2024-03-25/2024-03-31,291,35926,123.46,,34,0.12
주차,2024-04-01/2024-04-07,326,41477,127.23,,44,0.13
주차,2024-04-08/2024-04-14,382,42949,112.43,,48,0.13
주차,2024-04-15/2024-04-21,407,44526,109.4,,55,0.14
주차,2024-04-22/2024-04-28,289,34545,119.53,,27,0.09
주차,2024-04-29/2024-05-05,306,38176,124.76,,80,0.26
주차,2024-05-06/2024-05-12,252,25425,100.89,,33,0.13
주차,2024-05-13/2024-05-19,196,25823,131.75,,36,0.18
주차,2024-05-20/2024-05-26,208,25277,121.52,,30,0.14
주차,2024-05-27/2024-06-02,242,27131,112.11,,38,0.16
주차,2024-06-03/2024-06-09,281,34123,121.43,,73,0.26
주차,2024-06-10/2024-06-16,257,31477,122.48,,26,0.1
주차,2024-06-17/2024-06-23,251,34216,136.32,,90,0.36
주차,2024-06-24/2024-06-30,213,26738,125.53,,43,0.2
주차,2024-07-01/2024-07-07,296,30889,104.35,,43,0.15
주차,2024-07-08/2024-07-14,220,26936,122.44,,43,0.2
주차,2024-07-15/2024-07-21,232,24928,107.45,,22,0.09
주차,2024-07-22/2024-07-28,216,24860,115.09,,10,0.05
주차,2024-07-29/2024-08-04,278,31603,113.68,,21,0.08
주차,2024-08-05/2024-08-11,352,42794,121.57,,85,0.24
주차,2024-08-12/2024-08-18,233,27166,116.59,,18,0.08
주차,2024-08-19/2024-08-25,229,29711,129.74,,33,0.14
주차,2024-08-26/2024-09-01,215,24863,115.64,,23,0.11
주차,2024-09-02/2024-09-08,183,19998,109.28,,25,0.14
주차,2024-09-09/2024-09-15,201,28224,140.42,,50,0.25
주차,2024-09-16/2024-09-22,196,26415,134.77,,32,0.16
