date,open,high,low,close,volume
2021-05-25,31.42094469,33.56042867,25.54256775,30.00092768,1758233.045
2021-05-24,24.56641127,33.17311215,24.22076939,31.37304574,2273520.894
2021-05-23,31.26688513,32.52947798,19.03619793,24.56161292,3819011.171
2021-05-22,38.93069397,41.23034551,29.35708385,31.26701372,2210307.933
2021-05-21,44.48840441,48.49245383,32.28289592,39.00419313,2188068.996
2021-05-20,35.0587415,56.07470226,31.79360174,44.43022543,3949643.245
2021-05-19,56.04559033,58.84001663,26.5291425,35.0876977,4820527.935
2021-05-18,46.79085549,61.4412177,43.30704289,56.05017511,3124089.084
2021-05-17,46.90868368,56.53399755,41.59161046,46.80276018,2849334.687
2021-05-16,43.49050373,53.70863236,39.81630102,46.90895854,3175293.748
2021-05-15,42.76953398,47.77791449,38.29508349,43.4245459,904880.0701
2021-05-14,41.05913544,45.17847195,39.81183693,42.71285456,950545.9451
2021-05-13,43.24817522,46.85378382,36.02157075,41.05431987,1818284.956
2021-05-12,44.64823532,53.2181587,36.96335679,43.32377998,1934565.731
2021-05-11,42.94602095,45.56670241,39.535187,44.62180128,733736.7595
2021-05-10,44.3266656,46.88557165,38.95038945,42.95394944,820986.6858
2021-05-09,45.70152782,47.62881663,41.72250276,44.39162763,985081.6072
2021-05-08,43.22898303,47.43326172,41.39565166,45.70758887,872375.7761
2021-05-07,43.51275391,47.04469245,40.97736113,43.18264337,844186.7074
2021-05-06,45.02943178,45.76741824,41.5481171,43.56474896,666151.0206
2021-05-05,42.65473338,48.06719246,40.36191097,45.02837482,883525.0015
2021-05-04,45.96705466,52.6641074,41.28336638,42.66607319,1354366.974
2021-05-03,46.97632569,49.8167835,44.66827376,45.98996676,834276.8961
2021-05-02,49.66534159,50.13443757,45.38100326,46.98239929,821391.3239
2021-05-01,42.84252451,50.57429712,41.21937492,49.64904235,1392580.412
2021-04-30,42.5307035,47.07336662,39.22999366,42.84538512,1045108.237
2021-04-29,44.87757734,46.33457361,40.74870138,42.55113689,1278849.135
2021-04-28,43.206891,48.50487756,40.62002843,44.87429786,1620437.003
2021-04-27,43.89312426,48.02288619,41.48012935,43.2191713,1589702.591
2021-04-26,47.48882701,53.32274325,39.42124046,43.90524575,2097858.364
2021-04-25,40.91581624,50.5907025,38.25511748,47.49675019,2411202.488
2021-04-24,37.3553711,43.92578733,33.98027378,40.98776527,1797810.583
2021-04-23,38.91668623,41.70624667,31.21117828,37.29320325,2687647.299
2021-04-22,32.61040256,44.10225509,29.84298191,38.88872742,2825373.826
2021-04-21,31.74280939,36.29997648,29.39293114,32.60625093,1571233.479
2021-04-20,31.58513439,33.96326282,28.22226092,31.72863071,1545493.44
2021-04-19,32.41299917,37.39204767,28.58686204,31.49601312,2775987.58
2021-04-18,24.89315437,35.3815308,19.72164074,32.39796643,2864217.861
2021-04-17,25.35827566,27.50345135,24.37355578,24.88811447,489148.4421
2021-04-16,27.814328,28.5542448,24.64859897,25.3576318,666149.1461
2021-04-15,26.42387704,28.51040312,25.11516204,27.81931892,646346.2015
2021-04-14,27.46672259,28.09133953,24.14903464,26.42610798,1001612.919
